date,indipro,unemp
1/1/2016,0.0056,0.048
2/1/2016,-0.0052,0.049
3/1/2016,-0.0076,0.050
4/1/2016,0.0030,0.051
5/1/2016,-0.0023,0.048
6/1/2016,0.0048,0.049
7/1/2016,0.0016,0.048
8/1/2016,-0.0011,0.049
9/1/2016,-0.0010,0.050
10/1/2016,0.0009,0.049
11/1/2016,-0.0042,0.047
12/1/2016,0.0062,0.047
1/1/2017,-0.0017,0.047
2/1/2017,-0.0032,0.046
3/1/2017,0.0067,0.044
4/1/2017,0.0099,0.044
5/1/2017,0.0008,0.044
6/1/2017,0.0018,0.043
7/1/2017,-0.0017,0.043
8/1/2017,-0.0045,0.044
9/1/2017,0.0010,0.043
10/1/2017,0.0126,0.042
11/1/2017,0.0018,0.042
12/1/2017,0.0016,0.041
1/1/2018,-0.0004,0.040
2/1/2018,0.0036,0.041
3/1/2018,0.0056,0.040
4/1/2018,0.0113,0.040
5/1/2018,-0.0093,0.038
6/1/2018,0.0076,0.040
7/1/2018,0.0020,0.038
8/1/2018,0.0070,0.038
9/1/2018,-0.0001,0.037
10/1/2018,-0.0011,0.038
11/1/2018,-0.0008,0.038
12/1/2018,-0.0009,0.039
1/1/2019,-0.0058,0.040
2/1/2019,-0.0044,0.038
3/1/2019,0.0008,0.038
4/1/2019,-0.0050,0.036
5/1/2019,0.0019,0.036
6/1/2019,0.0002,0.036
7/1/2019,-0.0038,0.037
8/1/2019,0.0069,0.037
9/1/2019,-0.0032,0.035
10/1/2019,-0.0078,0.036
11/1/2019,0.0031,0.036
12/1/2019,-0.0033,0.036
1/1/2020,-0.0045,0.035
2/1/2020,0.0040,0.035
3/1/2020,-0.0377,0.044
4/1/2020,-0.1320,0.147
5/1/2020,0.0162,0.132
6/1/2020,0.0628,0.110
7/1/2020,0.0381,0.102
8/1/2020,0.0092,0.084
9/1/2020,-0.0005,0.079
10/1/2020,0.0078,0.069
11/1/2020,0.0030,0.067
12/1/2020,0.0105,0.067
