Ticker,Environmental,Social,Governance,Total
A UN Equity,7.1,8.1,6.1,7.1
AAL UW Equity,0,9,4.3,4.43
AAP UN Equity,6.4,4,5,5.13
AAPL UW Equity,0.8,7,0.6,2.8
ABBV UN Equity,5,8.1,8.1,7.07
ABC UN Equity,6.5,8.1,3.3,5.97
ABMD UW Equity,6.1,2.6,4,4.23
ABT UN Equity,4.5,9.5,9.9,7.97
ACN UN Equity,7.1,8.1,4.8,6.67
ADBE UW Equity,6.2,7,5,6.07
ADI UW Equity,5.8,9,2.8,5.87
ADM UN Equity,0,4,8.1,4.03
ADSK UW Equity,6.5,8.1,0.9,5.17
AEE UN Equity,3.9,0.2,4.6,2.9
AEP UW Equity,0.7,5.5,8,4.73
AFL UN Equity,5.9,2.6,5.1,4.53
AIG UN Equity,0,5.5,5.8,3.77
AIZ UN Equity,6.6,8.1,4.2,6.3
AJG UN Equity,6.2,5.5,5.2,5.63
AKAM UW Equity,5.9,8.1,6.9,6.97
ALB UN Equity,8,9,0.5,5.83
ALGN UW Equity,6.1,4,4.2,4.77
ALK UN Equity,4.8,4,2.5,3.77
ALLE UN Equity,6.8,7,6.6,6.8
AMAT UW Equity,6.3,9.5,3.6,6.47
AMCR UN Equity,5.5,8.1,4.1,5.9
AMD UW Equity,6.5,7,4.9,6.13
AME UN Equity,6.9,4,1.3,4.07
AMGN UW Equity,5.5,5.5,6.6,5.87
AMP UN Equity,5.7,0.4,4.5,3.53
AMT UN Equity,0.6,7,4.3,3.97
AMZN UW Equity,0,8.1,1.1,3.07
ANET UN Equity,7.2,4,2.2,4.47
ANSS UW Equity,5.8,5.5,2.7,4.67
ANTM UN Equity,8.2,4,6.9,6.37
AON UN Equity,6.3,7,5.6,6.3
AOS UN Equity,6.9,0.2,6.5,4.53
APA UW Equity,6.7,5.5,2.8,5
APD UN Equity,5.5,7,3.1,5.2
APH UN Equity,6.8,5.5,1.1,4.47
APTV UN Equity,6.2,5.5,3.3,5
ARE UN Equity,5.3,0.8,3.7,3.27
ATO UN Equity,5.9,0.8,4.2,3.63
ATVI UW Equity,6,7,2.7,5.23
AVB UN Equity,5.7,7,5.3,6
AVGO UW Equity,4.6,9,3.3,5.63
AVY UN Equity,5.9,8.1,6.7,6.9
AWK UN Equity,6.7,4,6.7,5.8
AXP UN Equity,5.3,4,9.9,6.4
AZO UN Equity,0.7,4,1.5,2.07
BA UN Equity,4.4,9,5.6,6.33
BAC UN Equity,3.7,8.1,9.9,7.23
BAX UN Equity,6.7,8.1,3.6,6.13
BBWI UN Equity,6.4,7,6.2,6.53
BBY UN Equity,5.9,4,8.1,6
BDX UN Equity,7.7,7,8.8,7.83
BEN UN Equity,5.6,0.8,1.6,2.67
BIIB UW Equity,6.1,8.1,8.8,7.67
BIO UN Equity,6.2,7,0.9,4.7
BK UN Equity,5.3,9,10,8.1
BKNG UW Equity,6.9,2.6,0.7,3.4
BKR UW Equity,7.1,5.5,5.9,6.17
BLK UN Equity,5.6,4,9.7,6.43
BMY UN Equity,6.4,4,8.9,6.43
BRK/B UN Equity,0,0,1,0.33
BRO UN Equity,5.8,1.5,5.6,4.3
BSX UN Equity,6.9,4,7.1,6
BWA UN Equity,6.3,8.1,7.2,7.2
BXP UN Equity,5,0.8,2.5,2.77
C UN Equity,4.2,7,10,7.07
CAH UN Equity,5.3,9,6.9,7.07
CARR UN Equity,7.2,4,1.7,4.3
CAT UN Equity,6.2,7,3.2,5.47
CB UN Equity,8.1,1.5,2,3.87
CBOE UF Equity,5.7,0.8,5.9,4.13
CBRE UN Equity,7.2,9.5,4,6.9
CCL UN Equity,3.6,7,9.6,6.73
CDAY UN Equity,6.4,4,3.4,4.6
CDNS UW Equity,6.4,8.1,2,5.5
CDW UW Equity,7.3,9,9.9,8.73
CE UN Equity,7.7,7,8.6,7.77
CERN UW Equity,6.1,7,1.1,4.73
CF UN Equity,2.4,7,5,4.8
CFG UN Equity,5.7,1.5,6.1,4.43
CHD UN Equity,6.2,8.1,3,5.77
CHRW UW Equity,6.7,4,5.7,5.47
CHTR UW Equity,6.7,0.4,7.5,4.87
CI UN Equity,6.9,8.1,5.5,6.83
CINF UW Equity,6.3,0.4,7.2,4.63
CL UN Equity,4.7,7,7.2,6.3
CMA UN Equity,5.6,4,5.3,4.97
CMCSA UW Equity,2.2,8.1,1.1,3.8
CME UW Equity,5.6,5.5,9.8,6.97
CMG UN Equity,6.5,1.5,4.1,4.03
CMI UN Equity,6.7,7,10,7.9
CMS UN Equity,4.8,4,5.6,4.8
CNC UN Equity,7.8,0.2,8.3,5.43
COO UN Equity,6,4,0.5,3.5
COP UN Equity,4.5,9,8.5,7.33
CPB UN Equity,4.6,5.5,5,5.03
CPRT UW Equity,6.7,0.4,1.1,2.73
CRL UN Equity,6,5.5,2.7,4.73
CRM UN Equity,6,9,6.8,7.27
CSCO UW Equity,7,7,4.4,6.13
CSX UW Equity,2.7,2.6,6.3,3.87
CTAS UW Equity,5.5,5.5,1.5,4.17
CTSH UW Equity,6.6,8.1,9.6,8.1
CTVA UN Equity,4.7,4,5.4,4.7
CTXS UW Equity,6.5,2.6,3.3,4.13
CVS UN Equity,4,5.5,8.1,5.87
CVX UN Equity,0.1,8.1,4.3,4.17
CZR UW Equity,6.3,0.1,6.7,4.37
